Date,Farm,Sensor Number,"Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body segments,Photo,Species? ,Photo File Name,
6/10/19,PU,7C,G,fly 1,3,6,2,black,thick body with very large eyes ,3 body segments,,,,
6/10/19,PU,7C,G,fly 2,10,6,2,black,thick body with very large eyes but is smaller than the first one,3 body segments,,,,
6/10/19,PU,7C,G,,2,4?,2,"black head and a yellow/ light brown body that comes to a point, light brown legs ",,2 segments,,,,
6/10/19,PU,7C,G,spider,1,8,0,light brown all over,,,,,,
6/10/19,PU,7C,G,centipede,1,a lot,0,dark brown,2 small pinchers,,,,,
6/10/19,PU,7C,F,fly,2,6,2,black,thick body with very large eyes ,3 body segments,,,,
6/10/19,PU,7C,F,ambiguous,1,6,0,black body with light brown legs,small head with tapered large body,2 body segments,,,,
6/10/19,PU,7C,F,,1,4,0,black,last segment comes to a point,3 segments (if head),,,,
6/10/19,PU,8C,P,millipede,1,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,8C,G,tick/spider?,1,8,,"black, light brown legs","head way smaller body, 1-2mm",2 segments,,deer tick?,,
6/10/19,PU,8C,F,beetle,1,6,2?,"dark brown body, light brown legs",,2 segments,,scavenger beetle?,,
6/10/19,PU,8C,G,fly?,1,6,2,creamy brown with stripes,"head smaller than body, long torso, less than a mm",2 segments?,,,,
6/10/19,PU,8C,G,fly?,1,6,4?,black,"2 antennae, stinger on the tail, >1mm",3 segments,,,,
6/10/19,PU,8C,G,fly? beetle?,1,6,2,"black, orange eyes",long wings,,,,,
6/10/19,PU,8C,G,fly,1,6,2,"clear wings, black","2 antennae, clear legs",3 segments,,,,
6/10/19,PU,8C,G,fly,1,6,2,"black, clear wings, black legs","fly eyes, bulging torso",3 segments,,,,
6/10/19,PU,8C,G,insect,1,6,?,"black, lighter brown legs","heart shaped face, very small",3 segments,,,,
6/10/19,PU,8C,G,fly,1,6,2,translucent wings, black, yellow stripes,"tail has yellow stripes through it, less than a millimeter",3 segments,,flower fly
6/10/19,PU,8C,G,fly,1,6,2,"orangey brown, dark brown head","long legs, twirly antennae, ~2mm",3 segments,,,,
6/10/19,PU,8C,G,fly,3,6,2,"clear wings, black, black legs",~1mm,3 segments,,,,
6/10/19,PU,8C,G,fly,1,6,2,"black, black legs","fly eyes, hair on its torso, plumper torso than head",3 segments,,,,
6/10/19,PU,8C,G,fly like,1,6,2,"black, black legs",", hair on the torso, think may have fly eyes, wings are clear, has hair on head (dark hairs, not too thick), half a finger nail in length",3 segments,,,,
6/10/19,PU,8C,G,ant,1,6,0,"black, black legs",2 antenae,3 segments,,,,
6/10/19,PU,8C,G,fly like/small mosquito,2,6,4,"black, brown legs","really long legs, antenae (can't tell if there are 2 or 4 antennae)",3 segments,,,,
6/17/19,PU,1C,G,fly,32,6,2,"chalky white on black thorax and head, with creamy-brown on black lumbar region, black legs, and rainbow irridescent wings","Eyes stretch dorsal to ventral on lateral aspects of eyes, long black pointy haris on thorax, segmented lumbar region, spherical thorax, relatively flat lumbar",3,,,pu-6-17-1c-G-fly,
6/17/19,PU,1C,G,fly,99,6,2,"shiny black, dark brown eyes","somewhat spherical head and thorax, raindrop-shaped lumber segment, large eyes on lateral aspects of face (multifaceted), tiny (~1mm)",3,,,pu-6-17-1c-G-fly2,
6/17/19,PU,1C,P,fly,1,6,2,"black body, golden legs","beady antennae (golden), around 1mm in length, translucent wings, ",3,,,,
6/17/19,PU,1C,G,cicada,3,6,2,"primarily black with milky white covering on prominent yellow triangle descending posteriorly from thorax onto lumbar segment, milky white wings","cylindrical body with lateral wing attachments, ice-cream on cone shaped head",1?,,,pu-6-17-1c-G-cicada,
6/17/19,PU,1C,P,beetle,1,6,2,brown body and lighter brown legs,"brown wings that lie vertically along its back, around 8mm in length,head is smaller than the body",3,,flour beetle/ confused flour beetle,,
6/17/19,PU,1C,P,i have no idea,1,8?,0,"head is dark brown but then slowly turns paler brown in color, light hairs all over the body","around 2cm in length, has legs in the front half of its body, tail has ridges on the top portion of its scales",3,,larva form of the devil coach horse beetle,,
6/17/19,PU,1C,G,fly,3,6,2,metallic blue body with rainbow irridescent wings and translucent milky white legs. Small light brown hair sparse on body and legs,"spherical, almost scaly thorax, small (~2mm)",3?,,,pu-6-17-1c-G-fly3,
6/17/19,PU,1C,G,fly,48,6,2,"black head with large brown eyes, white/yellow vertical markings on the lateral aspects of the thoracic segment, transparent wings with irridescence, lumbar region black with yellow triangle pattern, legs creamy off-white, thoracic region irridescent blue","large goggle-shaped eyes on either side of head, hunchbacked thoracic region and relatively flat lumbar region, small white hairs sparse across body, posterior-point triangle pattern across lumber segment",3,,,pu-6-17-1c-G-fly4,
6/17/19,PU,1C,G,beetle,1,6,unknown,"black head and thoracic carpace with translucent black wing-protector, milky white innards, and translucent light-brown legs","Thick elliptical body, stubby head, long wing protectors which cover lumbar region of body and exhibit wing-length vertical indentation spaced ~0.1mm apart",3,,,pu-6-17-1c-G-beetle,
6/17/19,PU,1C,G,termite,1,6,2,"black and grey underbelly, creamy white and rainbow irridescent wings",small body (~0.5mm) but with extremely long wings relatively (~2mm),?,,,pu-6-17-1c-G-termite,
6/17/19,PU,1C,G,ant,1,6,0,black all over with slightly translucent upper legs,"Extremely small (~0.5mm) with two segmented antannae, approximately spherical head section, and stretched egg-shaped thorax",2,,,pu-6-17-1c-G-ant,
6/17/19,PU,1C,G,larva,1,many,0,white with black dots along sides (laterally) and black eyes on anterier of head. White legs,"small (~1mm) tube-shaped, with head like the top of an ice-cream cone. Legs are teeny tiny and look waxy. Body segmented every 0.2mm or so",~15,,,pu-6-17-1c-G-larvadude,
6/17/19,PU,2C,F,ant,24,6,0,"dark brown body with light brown legs , light brown antenna",very narrow middle section of body with a large head and fourth section,4,,,,
6/17/19,PU,2C,F,fly,7,6,2,"black legs and third section, grey mid section and has dark bron eyes","very thin third section compared to the rest of the body, scaly looking mid section, long black hairs on all of body",3,,,,
6/17/19,PU,2C,F,fly,5,6,2?,"white with a black pattern that kind of looks like mickey mouse eyes, clear white legs, iridescent thorax, black head","big ass compound eyes, flat abdomen, it's a pretty small bugger",3,,,,
6/17/19,PU,2C,F,fly,11,6,2,"black all over, clear wings","long hairy legs, hairy abdomen, fat thorax",3,,,,
6/17/19,PU,2C,F,some flying thing with a stinger,1,6,2,"black, milky white legs",antennae that look like meal worms,,,,,
6/17/19,PU,2C,G,fly,27,6,2,"black body, brown legs",1mm long,,,,,
6/17/19,PU,2C,G,fly,8,6,2,"black head, greyish thorax, black and grey-brown stripes on abdomen, white legs, clear wings","0.5cm, compound eyes",3,,,,
6/17/19,PU,2C,G,fly,9,6,2,"grey thorax, black head and abdomen, clear wings, black legs","little black dots on thorax, hair on thorax and legs, black eyes???",3,,,,
6/17/19,PU,2C,P,milipede,2,a lot,0,black ,,,,millipede,,
6/17/19,PU,2C,P,milipede,1,,,white,,,,,,
6/17/19,PU,2C,P,beetle,1,6,2,brown body and lighter brown legs,"brown wings that lie vertically along its back, around 8mm in length,head is smaller than the body",3,,flour beetle/confused flour beetle,,
6/17/19,PU,2C,G,beetle thing,1,6,2,"shiny dark brown (almost black), brown antennae and legs","vertical lines on its abdomen (like it's been incised), thicc thighs, hair on the bottom portion of the legs, ridged antennae (like little beads), fairly flat all over, abdomen is over half the body's length",3,,,,
6/17/19,PU,2C,P,fly,1,6,2,"black body, golden legs,","long golden antennae coming off the front of its face, around 1mm in length, translucent wings",3,,,,
6/17/19,PU,2C,P,ant,1,6,0,"brown body, lighter brown legs",around 2mm in length,3,,,,
6/17/19,PU,2C,G,beetle thing,1,6,???,dark reddish brown with slightly lighter legs,"big abdomen (larger than other parts), long antennae (about half the body size), the underside is slightly ridged",3,,,,
6/17/19,PU,2C,G,fly,1,6,2,"black body and head, light brown legs, clear wings","chunky legs, small hairs over its body",3,,,,
6/17/19,PU,2C,G,ant,9,6,0,"dark  brown body, lighter brown legs",a couple of mm long,3,,,,
6/17/19,PU,2C,G,beetle  ,1,6,2,"shiny dark brown, light brown translucent legs","maybe the width of a needle, 1-2mm long (very small), very long and skinny for its size, flat body, horizontal lines on its abdomen, antennae that looks like little beads lined up",3,,,,
6/17/19,PU,2C,G,centipede,1,many,0,brown,short and fat legs,many,,,,
6/17/19,PU,3C,G,millipede,2,,,black ,,,,,,
6/17/19,PU,3C,G,fly,10,6,2,"grey body, black head, black legs","big dark red fly eyes, translucent wings, body is kind of scaley, around 1cm in length",3,,,,
6/17/19,PU,3C,G,fly,3,6,2,"browny black body, yellow legs, dark red eyes","translucent wings, big red eyes, plump body, around 3mm in length",3,,,,
6/17/19,PU,3C,G,ant,2,6,0,"black body, light brown legs","really long beady antennae, head is very circular in shape, around 2mm in size",3,,,,
6/17/19,PU,3C,G,fly,5,6,2,"yellow and black spotty body, yellow and black strippey tail, yellow clear legs","translucent wings, fly eyes, around 8mm in size",3,,,,
6/17/19,PU,3C,G,fly,3,6,2,"yellow head, black/grey splotchy body, black translucent legs","fly eyes with a distinct black line around the eyes, translucent wings, around 3mm in length",3,,,,
6/17/19,PU,3C,G,fly,4,6,2,"black body, brown legs","black head with light grey eyes, around 3mm in size",3,,,,
6/17/19,PU,3C,G,fly,2,6,2,black body and legs,"long antennae, long skinny tail, wings are translucent with black lines going through them, small eyes on side of its head, around 5mm in size",3,,,,
6/17/19,PU,3C,G,fly,20,6,2,"black body, brown legs","big translucent wings, fly eyes at the side of its head, around 2mm in size",3,,,,
6/17/19,PU,3C,G,beetle,1,6,2,"brown body, brown legs","brown wings that lie vertically along its back, head is smaller than its body, little hair folicles on its legs, around 7mm in size",3,,,,
6/17/19,PU,3C,G,fly,1,6,2,"grey body, black legs","head and tail are a lot smaller than the body, translucent wings, hair folicles on the body, around 7mm in size",3,,,,
6/17/19,PU,3C,G,millipede,1,,,white,,,,milipede,,
6/17/19,PU,3C,G,spider/tic,1,8,0,"black body, golden legs",has a raisin like tail (tic characteristic?) ,3,,,,
6/17/19,PU,3C,G,beetle,1,6,2,"brown body, lighter brown legs","brown vertical wings, beady antennae coming off the front of its face (classic brown beetle), hair folicles coming off the legs, around 1cm in size",3,,flour beetle/confused flour beetle,,
6/17/19,PU,3C,P,milipede,1,,,,,,,milipede,,
6/17/19,PU,3C,P,milipede/centipede,2,many,0,"brown back, white sides, white legs","legs are long and bendy (not sure if it is a millipede), 2 antennae (brown), around 2cm in size",3,,,,
6/17/19,PU,3C,F,fly,12,6,2?,"white with a black pattern that kind of looks like mickey mouse eyes, clear white legs, iridescent thorax, black head","big ass compound eyes, flat abdomen, it's a pretty small bugger",3,,,,
6/17/19,PU,3C,F,fly,8,6,2,"grey thorax, black head and abdomen, black legs, brown eyes, clear wings","compound eyes, hairs on its thorax, hairs on its legs",3,,,,
6/17/19,PU,3C,F,fly,1,6,2,"shiny green, black legs that fade into white","3mm, long legs, hairs on its head and legs, long abdomen",3,,,,
6/17/19,PU,3C,F,beetle,1,6,2,"red eyes, brown body","bead like antennae, vertical ridges on abdomen, kind of flat, 0.5cm",2,,,,
6/17/19,PU,4C,F,fly 1,6,6,2,"black legs and third section, grey mid section and has dark bron eyes","very thin third section compared to the rest of the body, scaly looking mid section, long black hairs on all of body",3,,,,
6/17/19,PU,4C,F,fly,3,6,2,"black and yellow striped third section,black mid section and dark brown eyes , yellowish brown legs","yellow stripes seem to be thicker than the black ones, short yellow antenna",3,,,,
6/17/19,PU,4C,F,fly 2,2,6,2,black all over,"much smaller than fly 1 with a very similar body structure,",3,,,,
6/17/19,PU,4C,F,fly,1,6,2,"light brown yellowish legs, light brown lower section and dark brown or black head and mid section","very long legs for body length, very long antenna, long thrid section had is round at the end",,,,,
6/17/19,PU,4C,P,beetle,3,6,2,brown body and lighter brown legs,"brown wings that lie vertically along its back, around 8mm in length,head is smaller than the body",3,,flour beetle/ confused flour beetle,,
6/17/19,PU,4C,P,tick,1,6,0,brown body with black specs,"raisin shape body that takes up most of the organism, around 2mm in size ",2,,,,
6/17/19,PU,4C,G,fly 1,12,6,2,"metallic silver mid and lower section, brown large eyes, black legs and a black head","long black hairs all over body, second section is large and rounded ",3,,,,
6/17/19,PU,4C,G,fly 2,15,6,2,"black and yellow striped third section, yellow translucent legs, second section is metallic and grey, eyes are large and brown",wings have brown lines and the wing itself is translucent but when it catches the light it is rainbow colored ,3,,,,
6/17/19,PU,4C,G,fly 3,6,6,2,,,,,,,
6/17/19,PU,5C,G,moth,1,cant tell,2,"black eyes, gold and silver wings, metallic grey/light brown mid setion and lower body, head is darker grey","small white hairs, faint lines going vertically across the lower body, white upper part of under belly",2,,,,
6/17/19,PU,5C,P,milipede,1,a lot,0,black,around 4cm in length,,,milipede,,
6/17/19,PU,5C,G,ant,1,6,0,"light red/ orage body and head with black and white stripes on the tip of the third section,brown antenna and legs ","hairy, black eyes,",3,,,,
6/17/19,PU,5C,P,beetle/fly,1,6,2,"black head and body, tail is predominately white with some black stripes","white wings, long antennae and long legs, around 2mm in length ",3,,,,
6/17/19,PU,5C,F,"fly, maybe with a stinger",1,6,2,"black with thin white stripes on abdomen, fine white hairs, translucent brown wings","hairy legs, two black antennae with a lil bump in the middle, 1cm",3,,,,
6/17/19,PU,5C,F,fly,1,6,2,"brown and beige stripey blotches on abdomen, grey thorax, clear legs, clear wings","0.5cm , kind of flat",3,,,,
6/17/19,PU,5C,G,fly 1,5,6,2,"light grey body and head with brown eyes,black legs",long black hairs on back and head,3,,,,
6/17/19,PU,5C,G,fly 2,8,6,2,black all over,"short thicker segments and shorter wings,  much smaller compared to fly 1 in row 191",3,,,,
6/17/19,PU,6C,F,fly 1 (same as in column 89),4,6,2,"black legs and third section, grey mid section and has dark bron eyes","very thin third section compared to the rest of the body, scaly looking mid section, long black hairs on all of body",3,,,,
6/17/19,PU,6C,F,fly (same as line 92),2,6,2,"black and yellow striped third section,black mid section and dark brown eyes , yellowish brown legs","yellow stripes seem to be thicker than the black ones, short yellow antenna",3,,,,
6/17/19,PU,6C,F,ant,1,6,0,"dark brown body, light brown legs","light brown antenna that looks beaded , lines going across fourth section, smooth looking outer layer with a few small hairs ",4,,,,
6/17/19,PU,6C,G,fly,1,6,2,,"translucent wings, big red fly eyes (cover most of the face), two small antennae coming off the front of its face, around 5mm in size",3,,,,
6/17/19,PU,6C,G,fly,14,6,2,"grey body, black legs, ","translucent wings, big maroon eyes, dark black hairs coming off the body, around 5mm in size **definetly seen this fly before but couldnt find the description of it ",3,,,,
6/17/19,PU,6C,G,fly,19,6,2,"black all over, clear wings","translucent wings, big fly eyes (beigey black in color), around 3mm in size",3,,,,
6/17/19,PU,6C,G,fly,1,6,2,"black body and legs, head is a lighter yellow, ","translucent wings, has 2 little masses coming off of the front of its face, black fly eyes (relatively big), around 2mm in size",3,,,,
6/17/19,PU,6C,G,fly,1,6,2,"blacky blue body, yellow and black tail, lighter yellow and black legs","huge fly eyes (take up 80% of the head), very distinct yellow and black areas on the tail, translucent wings, around 1cm  in size",3,,horse fly?,,
6/17/19,PU,6C,G,fly,24,6,2,"blacky/blue body, yellow legs, yellow and black stripped tail (light colors though)","translucent wings, brown fly eyes (take up most  of the head, around 5mm in size",3,,horse fly?,,
6/17/19,PU,6C,G,gnat,2,,,,,,,gnat,,
6/17/19,PU,6C,G,fly,1,6,2,"black body and legs,  brown tail ","medium sized fly eyes on the side of the head, translucent wings, long black antennae, around 7mm in size",3,,,,
6/17/19,PU,6C,G,fly,1,6,2,"blakc body, lighter black lesg","tail has smooth ridges, translucent wings, around 3mm in size",3,,,,
6/17/19,PU,6C,G,fly,1,6,2,"brown and black spotty body, brown legs","brown and black spotty wings lie vertically along its back, small antennae at the front of its head, around 6mm in length",3,,,,
6/17/19,PU,6C,P,beetle,1,6,2,brown body and lighter brown legs,"brown wings that lie vertically along its back, around 8mm in length,head is smaller than the body",3,,flour beetle/ confused flour beetle,,
6/17/19,PU,6C,P,beetle,1,6,2,"brown body, golden legs, ","brown wings that lie vertically along its back, around 1cm in length, long beady antennae",3,,,,
6/17/19,PU,6C,P,beetle,1,6,2,"grey body, darker grey legs","medium sized antennae, 2 small fly eyes on the side of its head, small grey translucent wings that lie vertically along its back, long legs",3,,,,
6/17/19,PU,7C,F,fly 1 (same as in column 89),5,6,2,"black legs and third section, grey mid section and has dark bron eyes","very thin third section compared to the rest of the body, scaly looking mid section, long black hairs on all of body",3,,,,
6/17/19,PU,7C,F,beetle,1,6,2,"brown body with a few spots of light brown on the bottom of the back of the third segment , light brown legs","smooth sleak looking outer shell, two light brown antenna, small black eyes, mid section is round",3,,,,
6/17/19,PU,7C,F,ant (same ant as in line 103),1,6,0,"dark brown body, light brown legs, black eyes","light brown antenna that looks beaded , lines going across third section",3,,,,
6/17/19,PU,7C,G,fly,15,6,2,"black, clear wings, black or dark brown legs","black compound eyes, really small",3,,,,
6/17/19,PU,7C,G,fly,10,6,2,"black all over, clear wings","long hairy legs, hairy abdomen, fat thorax",3,,,,
6/17/19,PU,7C,G,beetle thing,2,6,???,dark reddish brown with slightly lighter legs,"big abdomen (larger than other parts), long antennae (about half the body size), the underside is slightly ridged",3,,,,
6/17/19,PU,7C,G,fly,2,6,2?,"white with a black pattern that kind of looks like mickey mouse eyes, clear white legs, iridescent thorax, black head","big ass compound eyes, flat abdomen",3,,,,
6/17/19,PU,7C,G,beetle thing,1,6,2,"shiny dark brown (almost black), lighter brown antennae and legs","the back is textured like it's been pricked with a needle, fairly long antennae, i think it has chunky legs",2,,,,
6/17/19,PU,7C,G,beetle thing,2,6,2,"shiny dark brown (almost black), brown antennae and legs","vertical lines on its abdomen (like it's been incised), thicc thighs, hair on the bottom portion of the legs, ridged antennae (like little beads), fairly flat all over, abdomen is over half the body's length",3,,,,
6/17/19,PU,7C,G,beetle  ,1,6,2,"shiny dark brown, light brown translucent legs","maybe the width of a needle, 1-2mm long (very small), very long and skinny for its size, flat body, horizontal lines on its abdomen, antennae that looks like little beads lined up",3,,,,
6/17/19,PU,7C,G,fly,3,6,2,"shiny green, clear wings, black head, black head","compound eyes, 1mm long",3,,,,
6/17/19,PU,8C,F,fly 1 (same as in column 89),1,6,2,"black legs and third section, grey mid section and has dark brown eyes","very thin third section compared to the rest of the body, scaly looking mid section, long black hairs on all of body",3,,,,
6/17/19,PU,8C,F,fly,2,6,2,"yellowish and grey third section, silvery blue shinny mid section, dark brown head, yellow legs, ",lines along wings are brown and the wings have a rainbow tint to them when they catch the light,3,,,,
6/17/19,PU,8C,F,beetle,1,6,2,"bkack all over, black tinted shinny wings","very thin body, shinny smooth skin, very long antenna, dark lines going across its third section",3,,,,
6/17/19,PU,8C,F,ant,1,6,0,"shiny green, clear wings, black head, beige-ish clearish legs","light brown antenna that looks beaded , lines going across third section",3,,,,
6/17/19,PU,8C,G,fly 1 (same as in column 89),36,6,2,"black legs and third section, grey mid section and has dark brown eyes","very thin third section compared to the rest of the body, scaly looking mid section, long black hairs on all of body",3,,,,
6/17/19,PU,8C,G,,1,,,,,,,,,
6/17/19,PU,8C,G,fly (same as line 92),3,6,2,"black and yellow striped third section,black mid section and dark brown eyes , yellowish brown legs","yellow stripes seem to be thicker than the black ones, short yellow antenna",3,,,,
6/17/19,PU,8C,G,fly,5,6,2,"shiny black body, transparent and irridescent wings with dark structural veins","hunchbacked, flat lumber segment, teeny tine (~1mm)",3,,,pu-6-17-8c-G-fly,
6/17/19,PU,8C,G,fly,35,6,2,"black head with large brown eyes, white/yellow vertical markings on the lateral aspects of the thoracic segment, transparent wings with irridescence, lumbar region black with yellow triangle pattern, legs creamy off-white, thoracic region irridescent blue","large goggle-shaped eyes on either side of head, hunchbacked thoracic region and relatively flat lumbar region, small white hairs sparse across body, posterior-point triangle pattern across lumber segment",3,,horse fly?,pu-6-17-8c-G-fly2,
6/17/19,PU,8C,G,fly,36,6,2,"white chalky, brown eyes, creamy wings with dark brown structural veins, black hairs, occasional brown splotches at joints","relatively very large, spherical thoracic region, flat lumber region, long (head-length) black hairs, ~5mm long, carapice looks very hard and brittle like armor, very long pointy hairs on back",3,,,pu-6-17-8c-G-fly3,
6/17/19,PU,8C,G,,1,,,,,,,,,
6/17/19,PU,8C,G,fly,2,6,2,"most prominantly irridescent green and blue on thoracic region, brown eyes, rainbow irridescence in clear wings, black hair protruding from sides of thorax","large (~1cm length), very irridescent carapace, eyes take up ~70% of head, ",3,,green bottle fly?,pu-6-17-8c-G-fly4,
6/17/19,PU,8C,G,mosquito,1,6,4,"shiny black, dark brown antannae segments, dark brown legs","finely segmented antannae, approximately spherical thorax with slightly smushed head, and long relatively flat lumber segment",3,,,pu-6-17-8c-G-fly5,
6/17/19,PU,,,,1,,,,,,,,,
6/17/19,PU,,G,fly,17,6,2,"yellow and black striped third section, metallic siler mid section and brown large eyes, yellow translucent legs","third section is long and thin, thin wings, eyes take up most of head",3,,,,
6/17/19,PU,5C,F,fly,1,6,2,"black, brown eyes, black legs, clear wings","hairy, 1cm long, legs also 1cm long",3,,,,
6/17/19,PU,5C,G,fly,1,,,,,,,,,
