Date,"Sensor Number (1 = Tomato, 2 = corn)","Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body Segments,Photo,species,photo id,
7/12/19,2,G,hemiptera,2,6,4,light brown/yellow,"long cylindrical body, black stripes on ventral surface, black eyes",3,,,KK-2019-07-12-2G-hemiptera,
7/12/19,2,G,fly,1,6,2,glossy black with yellow splotch on head and yellow triangles on tail,"large (~5 mm), flat abdomen, spherical head",3,,flower fly,KK-2019-07-12-2G-fly3,
7/12/19,1,G,ant,1,6,0,"dark brown head, body and tail, lighter shade legs","lower part of the legs are segmented, little white hairs on the tail, around 5mm in size",3,,,k-7-12-1G-ant1,
7/12/19,2,F,beetle,1,6?,0,"black body and head, light brown translucent legs","around 1mm in length, looks like a small black dot,  has bumps on the back of its body, towards the end of the body it is somewhat light brown ",2,,,,
7/12/19,2,G,ant,3,6,2,glossy black,"yellow joints between legs, long segmented antannae, thin tubular abdomen",3,,,KK-2019-07-12-2G-ant,
7/12/19,1,G,fly,2,6,2,"black head, bdoy and tail, yellow legs","translucent wings, long curly beady antennae, that start off yellow and then become dark brown in color, around 1-3mm in length",3,,,k-7-12-1G-fly13,
7/12/19,2,G,larvadude,320,,0,white with black stripes,"tiny cylindrical body, black beady eyes, white to black gradient on body with black stripes around body",,,,KK-2019-07-12-2G-larvadude,
7/12/19,1,G,gnat,4,,,,,,,,k-7-12-1G-fly13,
7/12/19,2,G,tick,6,6,4,glossy black,dome-like posterior half,3,,,KK-2019-07-12-2G-tick,
7/12/19,1,G,fly,2,6,2,"black all over, black legs","tranlucent wings, around 1-2mm in size",3,,,k-7-12-1G-fly12,
7/12/19,2,G,hemiptera,3,6,4,black and yellow,"nubby yellow head with thick black stripe running laterally on the dorsal aspect, long cylindrical abdomen with thick black stripes broken by thin yellow stripes",3,,,KK-2019-07-12-2G-hemiptera2,
7/12/19,1,G,confused flour beetle/ flour beetle,2,6,2,"dark brown all over, light brown legs",,,,,k-7-12-1G-fly11,
7/12/19,2,G,gnat,2,6,2,glossy black and translucent brown,"tiny head, spherical hunchbacked thorax, teardrop translucent abdomen",3,,,KK-2019-07-12-2G-gnat,
7/12/19,1,G,fly,8,6,2,"black head, body, yellow tail, yellow legs","black antennae, translucent wings, 4-5mm in length",3,,,k-7-12-1G-fly10,
7/12/19,2,G,mosquito,1,6,2,brown,"crusty lumpy body, super long and spidery legs, super long antannae",3,,,KK-2019-07-12-2G-mosquito,
7/12/19,2,G,fly,5,6,2,glossy black,"head basically just supports for huge bulgy black eyes, large spherical thorax, flat segmented abdomen",3,,,KK-2019-07-12-2G-fly4,
7/12/19,1,G,fly,7,6,2,"beige head and body, beige and black stripped tail, translucent legs","red fly eyes (70%), translucent wigns, 2 masses on the front of its head, 3-4mm in size",3,,,k-7-12-1G-fly9,
7/12/19,2,G,ant,2,6,2,"irridescent metallic blue, black wings, ","very large (~2cm), thick leathery wings, pancake head, worm-like antannae, cylindrical thorax with very long, thin connector between thorax and abdomen. Abdomen teardrop shaped",3,,,KK-2019-07-12-2G-ant2,
7/12/19,2,G,ant,6,6,2,glossy black and yellow,"long segmented antannae (~1.5x body length), small (~1mm), yellow leg joints",3,,,KK-2019-07-12-2G-ant3,
7/12/19,1,G,fly,14,6,2,"black head, grey/brown body, orange tail, grey legs","grey beady antennae, translucent wings, 1-2mm in size",3,,,k-7-12-1G-fly8,
7/12/19,2,G,ant,2,6,0,glossy black and yellow,"yellow ventral abdomen, yellow legs",3,,,KK-2019-07-12-2G-ant4,
7/12/19,2,G,hemiptera,2,6,4,black and white,"white upside-down triangle on thorax, tapering cylindrical abdomen thick black stripes broken by white",3,,,KK-2019-07-12-2G-hemiptera3,
7/12/19,1,G,fly,1,6,2,"black head, body and tail, dark golden brown legs","translucent wings, long black segmented antennae, around 5-6mm in size, ",3,,,k-7-12-1G-fly7,
7/12/19,1,G,fly,2,6,2,"brown head, body and tail, yellow legs with brown joints, ","long brown antennae, translucent wings, brown eyes (unsure how big), aorund 2mm in size",3,,,k-7-12-1G-fly6,
7/12/19,2,G,fly,3,6,2,glossy black,"half-sphere head, teardrop thorax and teardrop abdomen. Scaly appearence",3,,,KK-2019-07-12-2G-fly5,
7/12/19,2,G,ant,8,6,0,glossy black,"small ~1mm, spherical head, thorax and abdomen look like one whole that tapers into point",3,,,KK-2019-07-12-2G-ant5,
7/12/19,1,G,fly,8,6,2,"beige head, black body and tail, yellow legs","front 2 legs have lower sections that are segmented, front 2 antennae are yellow and then turn black, translucent wings, brown eyes (80%), 5mm in size",3,,,k-7-12-1G-fly5,
7/12/19,2,G,beetle,1,6,4,black and yellow,"egg-shaped thorax/forewing sections, yellow blobs laterally on edge of forewings",3,,,KK-2019-07-12-2G-beetle2,
7/12/19,2,G,beetle,4,6,4,orange and black,"black head, orange pronotum with black splotches cetral to each lateral half, orange forewings with black polka-dots",3,,confused flower beetle,KK-2019-07-12-2G-beetle3,
7/12/19,2,G,fly,6,6,2,glossy black and translucent milky white,"half-sphere head, thorax and abdomen blend with abdoment translucent milky whtie and clearly segmented. Wings exhibit dark veins",3,,,KK-2019-07-12-2G-fly6,
7/12/19,1,G,fly,56,6,2,"black all over, yellow legs","2 small masses coming off the front of its face, translucent wings, red fly eyes (80%), bottom of legs are black, around 3-4mm in length",3,,,k-7-12-1G-fly4,
7/12/19,2,G,fly,6,6,2,metallic black,"half-spherical head, spherical thorax, blunt teardrop abdomen, wings white and black striped",3,,,KK-2019-07-12-2G-fly7,
7/12/19,1,G,fly,1,6,2,"black head, body, and tail, yellow legs","translucent wings, black antennae that is segmented, long skinny organism, around 3-4mm in size",3,,,k-7-12-1G-fly2,
7/12/19,2,G,fly,1,6,2,glossy black,"segmented antannae, half-spherical head, oblong thorax, and teardrop abdomen",3,,,KK-2019-07-12-2G-fly8,
7/12/19,1,G,spider,1,8,0,"brown head, body and tail, black legs","2 long brown manibles, black mass on top of the body, around 5cm in length (total), 1cm body size",3,,,K-7-12-1G-spider1,
7/12/19,1,G,larva beetle,1,6,2,"orange brown head, body, tail, golden brown legs","forewings vertical wings that lie vertically along its back, black fly eyes (60%), translucent hindwings, around 1-3mm in size",3,,,k-7-12-1G-beetle1,
7/12/19,2,G,fly,4,6,2,black body,"small yellow splotch at anterior of abdomen, relatively flat abdomen, small spherical head, thorax has posterior projection over abdomen",3,,,KK-2019-07-12-2G-fly9,
7/12/19,1,G,fly,5,6,2,"black all over, yellow legs","medium sized black antennae, translucent wings, brown fly eyes (70%), around 2-3mm in length",3,,,k-7-12-1G-fly1,
7/12/19,2,G,beetle,1,6,4,reddish brown,large (~2cm),3,,,KK-2019-07-12-2G-beetle4,
7/12/19,2,G,gnat,1,6,2,black and translucent brown,"abdomen flat, browad, and translucent",3,,,KK-2019-07-12-2G-gnat2,
7/12/19,2,G,orthoptera,4,6,2,light brown,"long and pointy, with a bulge in midsection, long spidery legs",1,,,KK-2019-07-12-2G-orthoptera,
7/12/19,2,G,spider,4,8,0,light brown,"egg-shaped body darker brown, long thin legs",1,,,KK-2019-07-12-2G-spider,
7/12/19,1,G,fly,1,6,2,balck all over,"translucent round wings with black little hairs long beady black antennae, golden legs with black joints, around 3-4mm in size",1,,,k-7-12-1G-fly3,
7/12/19,2,G,fly,2,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/12/19,1,G,spider,7,8,0,"beige all over, darker beige legs","has 1 black mass on the abdomen of the spider in the center of the upper portion of the body, manible is long are beige, around 1cm in size for body and around 8cm in total size",3,,,k-7-12-1G-spider2,
7/12/19,2,G,fly,1,6,2,black yellow and white,"half-sphere head, orange beady eyes, spherical thorax, teardrop abdomen with white blob underneadt, yellow tibias and tarsus",3,,,KK-2019-07-12-2G-fly11,
7/12/19,2,G,beetle,2,6,4,rainbow irridescent black,"large (~2cm), broad pronotum, vertical rows on forewings",3,,,KK-2019-07-12-2G-beetle5,
7/12/19,2,G,beetle,2,6,4,black,disc head and abdomen,3,,,KK-2019-07-12-2G-beetle6,
7/12/19,2,G,fly,2,6,2,black and yellow,abdomen black and yellow striped,3,,,KK-2019-07-12-2G-fly12,
7/12/19,2,G,hemiptera,3,6,4,light brown,leaf-shaped body,3,,,KK-2019-07-12-2G-hemiptera4,
7/12/19,2,P,beetle,1,6,2,"dark brown wings, light brown/orange under belly, light brown legs, black legs","around 8mm in length, glossy smooth looking skin, lined under belly",3,,,,
7/12/19,2,P,beetle,1,6,0,all black,"around 7mm in length, lined under belly, black pinchers, white dots/ hairs on the under belly",3,,,,
7/12/19,2,G,fly,1,6,2,black and yellow,"triangle head with segmented antannae, red eyes laterally, thorax yellow ventrally and black dorsally, abdoment black and yellow striped dorsal and yellow ventral",3,,,KK-2019-07-12-2G-fly13,
7/12/19,2,G,collembola,1,3,0,black,"head and long body, body clearly segmented and tapers to blunt end, brown legs",2?,,,KK-2019-07-12-2G-collembola,
7/12/19,2,G,fly,1,6,2,black,"large (~1cm), spherical head and thorax, small abdomen, legs long with yellow joints and finely segmented tarsus",3,,,KK-2019-07-12-2G-fly14,
7/12/19,2,G,fly,1,6,2,black and white,abdomen clearly segmented with black segements and white joints,3,,,KK-2019-07-12-2G-fly15,
7/12/19,2,G,collembola,2,6,0,bright red and black,egg-shaped body with pointy tail and black stripe mid-sagitally,1,,,KK-2019-07-12-2G-collembola2,
7/12/19,2,G,ant,7,6,0,black and translucent brown,"very small, black head and thorax and translucent brown abdomen, curled antannae",3,,,KK-2019-07-12-2G-ant6,
7/12/19,2,G,fly,1,6,2,black and translucent brown,"black pancake head, oblong thorax, teardrop abdomen",3,,,KK-2019-07-12-2G-fly16,
7/12/19,2,G,beetle,4,6,4,glossy black,vertical rows with divots on forewings,3,,,KK-2019-07-12-2G-beetle,
7/12/19,1,G,fly,11,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/12/19,1,G,fly,1,6,2,"black and yellow striped third section, black mid section, yellow head with large red eyes, yellow legs","eyes take up 80% of head, around 1mm in length, head has one black spot on it in the middle on the top",3,,,,
7/12/19,1,G,tick,1,6,0,"reddish brown body and head, red legs","less than 1mm in length, circular shaped body",2,,,,
7/12/19,2,G,ant,2,6,0,black,"pancake half-spherical head, spherical thorax, teardrop abdomen, segmented antannae",3,,,KK-2019-07-12-2G-ant7,
7/12/19,1,G,fly,1,6,2,"metallic blue body, yellow head and legs, brown eyes,first upper set of wings is tinted yellow and the bottom ones are white","around 2mm in length, the head is triangle shaped,  body comes to a point, the white wings are clear and shinny, the blue protion has kines going across it ",3,,,,
7/12/19,2,G,larvadude,2,6,0,yellow and black,"disc head with moderate length antannae, legs all originating in a clump on thorax, long abdomen with bulge",3,,,KK-2019-07-12-2G-larvadude2,
7/12/19,1,G,little black fly,6,,,,,,,little black fly,,
7/12/19,1,G,fly,2,6,2,"light brown third section, yellow mid section, black eyes, yellow head, clear legs with a black tint","third section has lines going across it, less than 1mm in length",3,,,,
7/12/19,2,G,collembola,1,6,0,brown,"small egg-shaped body, six legs evenly spaced on body, hairy",?,,,KK-2019-07-12-2G-collembola3,
7/19/19,1,G,black larva,23,,,,,,,,k-7-19-1G-larva1,
7/19/19,1,G,fly,2,6,2,"golden head, grey/golden body, golden legs","2 masses on the front of its face, brown eyes (70%), translucent wings, around 2-4mm in length",3,,,k-7-19-1G-fly16,
7/19/19,1,G,beetle/cicada,4,6,2,"yellow head with black dots over it, green/yellow pronotum, black tail, yellow legs","tail is cone shaped, legs have yellow hairs/spikes coming off of them, round triangular head, around 2-4mm in size, yellow translcuent wings",3,,,k-7-19-1G-beetle/cicada1,
7/19/19,1,G,gnat,9,,,,,,,,k-7-19-1G-fly15,
7/19/19,1,G,fly,5,6,2,"brown/black all over, yellow legs","yellow beady antennae, translucent wings, around 1mm in size",3,,,k-7-19-1G-fly14,
7/19/19,1,G,fly,4,6,2,"black all over, black thighs, brown tibia","translucent wings, brown twiggy antennae, around 1mm in length",3,,,k-7-19-1G-fly13,
7/19/19,1,G,orange larva,2,,,,,,,,k-7-19-1G-fly13,
7/19/19,1,G,moth,1,6,4,"black head with orange specs, black body with orange tips, black and orange splotchy wings","black eyes (70%) with a white rim around it, small black antennae, long and skinny body and tail, wingspan is around 2cm and organism is around 1.5cm in size",3,,,k-7-19-1G-moth2,
7/19/19,1,G,fly,1,6,2,"black head, grey body and tail, yellow abdomen, yellow legs","translucent wings, long legs (same length as body), around 1-2mm in size",3,,,k-7-19-1G-fly12,
7/19/19,1,G,fly,3,6,2,"brown head with black splotches, brown body, brown tail with black horizantal stripes, ","red fly eyes (80%), grey translucent wings, small black hairs on head and body, around 3-4mm in size",3,,,k-7-19-1G-fly11,
7/19/19,1,G,dermaptera,1,6,2,"black all over, black legs","black cercus, black beady antennae, horizantal strippes along its abdomen, around 1-2mm in size",3,,,k-7-19-1G-fly10,
7/19/19,1,G,fly,4,6,2,"black head and body, black tail with thin horizantal yellow strippes, yellow abdomen, black thighs with yellow tibia","red fly eyes (75%), 2 small black masses coming off the front of its head, translucent wings, around 2-4mm in size",3,,,k-7-19-1G-fly9,
7/19/19,1,G,fly  (same as row pu733),8,6,2,"black head divided into 3 sections with yellow lines, black body and tail, yellow abdomen, yellow/clear legs ","brown eyes (70%), black skinny antennae, translucent wings, lower portion of legs are segmented, around 4mm in size",3,,,k-7-19-1G-fly8,
7/19/19,1,G,spider,1,8,0,"brown/orange all over, yellow legs","yellow mandible, black eyes, face is on top of body, around 1mm in size",3,,,k-7-19-1G-spider1,
7/19/19,1,G,beetle,1,6,4,"black all over, black legs","circular in shape, black forewings that lie vertically along its back, around 1mm in size",3,,,k-7-19-1G-beetle2,
7/19/19,1,G,fly,1,6,2,"black all over, black legs","translucent wings, around 1-2mm in size",3,,,k-7-19-1G-fly7,
7/19/19,1,G,fly,1,6,2,"black head and body, yellow tail with horizantal black stripes, yellow legs","translucent wings, 2 masses coming off the front of its face, around 2-4mm in length",3,,,k-7-19-1G-fly6,
7/19/19,1,G,fly,1,6,2,"black all over, black tail with thin grey horizantal lines, black legs, grey abdomen","black beady antennae, translucent wings, buldgey tail, 3-4mm in size",3,,,k-7-19-1G-fly5,
7/19/19,1,G,fly,2,6,2,"orange head, body and tail, orange legs","translucent wings, black eyes (75%), small black antennae, around 3mm in size",3,,,k-7-19-1G-fly4,
7/19/19,1,G,beetle,1,6,4,"grey head, black body and tail, yellow legs","2 translucent wings with patterned spots all over them, 2 wings that are just clear (no patterns) small black fly eyes (40%), around 2-4mm in length",3,,,k-7-19-1G-fly3,
7/19/19,1,G,beetle,1,6,2,"black all over, brown legs","black beady antennae, distinct ridges along its tail, around 7-8mm in size",3,,,k-7-19-1G-beetle1,
7/19/19,1,G,moth,1,6,2,"white and beige all over, white legs","wings are white and beige with small black specs, thin beige and white antennae, black eyes, aorund 1-1.5cm in size",3,,,k-7-19-1G-moth1,
