Date,"Sensor Number (1 = Tomato, 2 = Zuccuni)","Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body Segments,Photo,Species? ,pic_id
6/14/19,2,G,beetle,2,6,4,"Head: Black on top with brown around the sides and on bottomWings: wing covers yellow, darker inside with light yellow outline and dark brown spots at tail-end of the wing covers. Wings themselves are blackBody: black along the top of lumbar body segments, yellow underbellyLegs: begin light brown then become dark brown halfway down 1st leg segmentAntannae: black on top, brown on bottomShouler: yellow with black vertical stripe","2 body-length antannae, 2 multifaceted black eyes, 4 proby mouth-things, lumbar body segment has 7 scale-like sections that protrude out onto one another, shoulder armor plate with first two legs protruding from this section",3,,margined leatherwing beetle,oo-6-14-z-G-beetle
6/14/19,1,P,beetle,1,6,0,orange body and legs,"has beady legs, long body (kind of looks like it has a shrimp type of body), around 3mm in size",3,,,
6/14/19,1,P,beetle/ant,1,6,0,"black body and hegs, legs are a lighter shade of brown, ","long body and tail, around 2mm in size",3,,,
6/14/19,1,P,spider/tic,1,8,0,grey body and legs,"2 very small, skinny antennae, 2 big eyes coming out of the front of its head, body is around 4mm in size, with legs around 2cm in size",3,,,
6/14/19,2,P,ant,3,6,0,light brown ,"thinner middle section compared to head and back, two long antenna, very long legs",4,,,
6/14/19,2,P,,,,,,,,,,
6/14/19,2,G,beetle,1,6,4,black with brown-to-black antannae,large and broad wing covers with tiny divots all over them. Thicccc thighs on furthest back legs. Armored shoulder section. Antannae approximately as long as body,3,,,oo-6-14-z-G-beetle1
6/14/19,1,P,spider,1,8,0,"dark red body and head, dark yellow legs","round body, small head, hairs coming off of the legs, around 2mm in size",2,,,
6/14/19,2,P,centipede,1,alot,0,grey and yellow striped body,,1,,,
6/14/19,2,G,beetle,1,6,4,black with white hair,"very broad, tapered body with top of head just barely poking out of thick neck-like armor section. Three toes on each foot",3,,,oo-6-14-z-G-beetle2
6/14/19,1,P,beetle,,6,0,dark red body and lighter yellow legs,"very small, less than 1mm in size, round body, ",2,,,
6/14/19,2,p,beetle,1,6,0,black all over ,smooyh looking body,2,,stag beetle,
6/14/19,2,G,fly,8,6,2,"black body, transparent wings with brown veins, black to brown legs","looks like a classic fly. relatively long hairs protruding from head, thoracic, and lumbar regions, with most in the lumbar region but much shorter. jet-black body",3,,,oo-6-14-z-G-fly
6/14/19,2,P,fly,1,6,2,"yellow and black striped second section, black upper body",very thin middle section in between the other two sections,3,,,
6/14/19,2,G,fly,8,6,2,black all over with reddish brown compound eyes,looks like a house fly but maybe too small to be a house fly,3,,,
6/14/19,2,G,fly,1,6,2,light yellow and brown striped underbelly. Orange eyes and translucent off-white legs. Wings are nearly transparent with irridescence and black veins,long lumbar body segment with translucent underbelly covering that shows orange and yellow organs. Large spherical eyes on either side of head.,2,,,oo-6-14-z-G-fly2
6/14/19,2,G,fly,32,6,2,shiny black,"very small, maybe 1 mm, blackish compound eyes, clear wings",,,,
6/14/19,2,G,fly,4,6,2,black head and thoracic segments with lighter brown lumbar segment. Legs light translucent brown and wings transparent with dark brown veins,two probisuses stickin out of the front of the face. Large red disk-shaped eyes. some hair on thoracic region,3,,,oo-6-14-z-G-fly3
6/14/19,2,G,maybe a fly,,6,2? wings broken,black with white papery head,"clear legs, black compound eyes, wings appear to have been white or clear","3, abdomen tapers to an end",,resh cicada? (not sure if they are present in NJ),
6/14/19,2,p,centipede,1,a lot,0,light grey with two dark grey stripes going down its back with light grey spots on the stripes,"very small and short, has lines going horizontally across its back, the dark grey lines are going verically down its back",1,,common pillbug (roly-poly),
6/14/19,2,G,beetle?,2,6,2,"green body, beige head","clear brown legs, papery head with black spots",3,,,
6/14/19,2,G,termite,1,6,4,"black, end of legs are brown",Teeny tiny little guy (~0.25mm) long contiguous body with two antannae approximately 1/4 body length. Body is somewhat cylindrical and scaled,"1, but with scales",,,oo-6-14-z-G-termite
6/14/19,2,G,insect,1,6,2,"yellow with one black stripe on head and vertical stripes on thorax and horizonal stripes on abdomen, red eyes",it's pretty small,,,,
6/14/19,2,G,mosquito,3,6,4,"black head and thoracic segments with muddy brown lumbar segment. Legs are dark brown on top and lighter, translucent brown on bottom. Antannae similar to legs","2 body-length antannae, hunchbacked thoracic segment, lumbar segment begins very thin and expands outward to the girth of thoracic segment before tapering back down. Lumbar region striped",3,,,oo-6-14-z-G-mosquito
6/14/19,2,G,insect thing,1,6,none???,"brown, red eyes, black legs with a gradient to light brown towards the body","really long legs, kinda scaly (it almost looks like it's in a braid)",,,,
6/14/19,2,G,the black bug,,,,,,,,the black bug,
6/14/19,2,G,larva dude,2,,,Yellow with black eyes,"long contiguous body with two small antannae protruding from face. Small hairs protruding from end of body, Body is vertically striped, but very mildly. Some gradiation in depth of yellow coloring",1,,,oo-6-14-z-G-larvadude
6/14/19,2,G,ant,2,6,2,"black body, translucent light brown legs, antannae begin translucent light brown and quickly become black and stay black, transparent wings","2 body-length segmented antannae, 2 large, dark disc-shaped eyes, spherical head, tapering cylindrical thoracic segment, tapering ovular tail segment, leg segments thicken away from joints",3,,,oo-6-14-z-G-ant
6/14/19,2,G,beetle,1,6,2 probs,"shiny green, black legs","very small, a mm or so",2?,,shiny leaf beetle or golden tortoise beetle,
6/14/19,2,G,fly,1,6,2,"light brown, light brown legs","black compound eyes, darker abdomen, small like the size of small chunk of dirt, kind of dirt colored. TLDR it looks like dirt",,,,
6/14/19,2,G,,,,,,,,,bean leaf beetle,
6/14/19,2,G,fly,2,6,2,black with a little bit of green on the thorax,"small, the size of like a poppyseed, clear wings, black compound eyes",3,,,
6/14/19,2,G,fly,2,6,2,black with some black splotchy lines on the abdomen,"flat abdomen, clear wings, light brown legs, reddish black compound eyes",3,,,
6/14/19,2,G,fly,2,6,2,"light brown head, thoracic region, and legs. Dark brown scaled lumbar region. Red multifaceted eyes. transparent wings with light brown veins","Long pointy hairs protruding from thoracic segemnt. Smaller black hairs protruding from head, lumbar region, and legs. Two nubby probiscuses at front of face",3,,,oo-6-14-z-G-fly4
6/14/19,2,G,mosquito,1,6,4,"black head, thoracic, lumbar, and antannae, legs black on top and brown on bottom","2 body-length antannae, head covered in small, light hairs, head flat-ish like a potato pancake, thoracic region relatively very large, pear-shaped, and lumbar region girth of head but thrice as long and scaled",3,,,oo-6-14-z-G-mosquito2
6/14/19,2,G,beetle,2,6,4,"black head, black thoracic segment, and black lumbar wing-protectors with 1 veritcal yellow stripe on each","teeny tiny (~0.5mm), coffee-bean shaped with tiny divots all through wing-shells. Wings are milky translucent white and a little hairy along the edges",3,,cucumber beetle,oo-6-14-z-G-beetle3
6/14/19,2,G,fly,2,6,2,"black head, thoracic segment, and lumber segment with black legs that have light brown joints. Eyes are irridescent. White hair all over, most prominantly on the thoracic region and underside of lumbar segment","Tiny head compared to rest of body, but with extremely large eyes, relatively. Overall, approximately ~1.5mm body. 2 antannae that come together and bend outward laterally. 2 large black pincers protruding from head. Thoracic region is somewhat spherical, and lumber segment is relatively flat and teardrop shaped, coming to a point at the dorsal end",3,,,oo-6-14-z-G-fly5
6/14/19,2,G,spider,1,8,0,"light brown with black and white splotches, mottled all over, sandy-dirt like camoflague, legs striped black and brown, like a hyena","spherical/egg-shaped body with relatively very long legs. Mnay eyes on front of head, with two medial anterier dorsal looking due east and west",1,,,oo-6-14-z-G-spider
6/14/19,2,G,beetle,1,6,4,Black head and wing protectors with light brown thoracic segment and legs,"two body-length segmented antannae, thicc thighs and each leg segment gomes to narrow joints",,,,oo-6-14-z-G-beetle5
6/14/19,2,G,moth,1,6,2,"black body segments with thick, dense white fur all over head and thoracic segments and underside of lumbar segment such that it looks snowy. Wings are furry whith white hair and close to body have black fur speckling","Tough, plastic-looking thoracic and lumbar segments. Very long body (~20mm) with huge wingspan (~50mm). dark-brown/black coiled probiscus just visible protruding from anterier ventral facial region. Large, disc-shaped multi-faceted eyes (reddish-brown). Very hairy",3,,,oo-6-14-z-G-mothman
6/14/19,2,G,beetle,1,6,4,"black head, thoracic, and wing-protector segments. Antannae begin black then quickly become light brown laterally. White hair","teeny tiny (~0.5mm), wing protectors exhibit tidy veritcal rows of divots and hair folicles seperated by ~0.01mm laterally. 2 Antannae ~1/3 body length protruding from head segment",3,,ground beetle,oo-6-14-z-G-beetle4
6/14/19,2,G,cicada?,1,6?,2,"light translucent, irridescent off-white to brown all over, with dark veins sectioning wings. Black eyes, with two on anterier of face and two lateral to head. Slightly darker borwn anterier face","half-spherical head that protrudes as if ice cream from a cone, with two wings draped across shoulders and back covering the length of the body and then some, tapering like the cone",2?,,,oo-6-14-z-G-cicada
6/14/19,2,G,mosquito,1,6,4,"black head and thoracic regions, light translucent brown lumbar region, translucent light-brown legs and transparent wings with thin, light structural veins","head and thoracic region almost merged together, with nearly soherical thoracic region that has a large hunchback. Lumbar region segmented (looks like stripes). 2 Long probiscuses protruding from anterier face",3,,,oo-6-14-z-G-mosquito3
6/14/19,2,G,fly,3,6,2,"Black head and thoracic region, with segmented lateral anterior-to-posterior yellow stripe on thoracic region. Lumber region black and yellow horizontally striped. yellow chicken beak","Relatively huge eyes that are vertically goggle shaped, one on each lateral side of head region. Wings a little bit irridescent. Mouth really looks like a puffin beak",3,,,oo-6-14-z-G-fly6
6/14/19,2,G,mosquito,2,6,4,"black head, thoracic and lumber region, translucent brown legs","2 short antannae, hunchback, and segmented lumber region",3,,,oo-6-14-z-G-mosquito4
6/14/19,2,G,ant,2,6,2,"black head, thoracic region, bridge between thoracic and lumber region, and lumbar region. Legs are 2-segment black and terminate light brown. Antannae and eyes also black","2 large disc-shaped bmulti-faceted eyes. Body relatively long relative to girth, lumbar body region somewhat spherical. Overall ~1.5mm long",3,,,oo-6-14-z-G-ant2
6/14/19,2,G,fly,3,6,2,"head and thoracic regions primarily black with veritcal yello racing stripes that run the length of each segment. On head, the yellow curves around the undeside and sides of head region. lumbar segment is black on top and yellow on underbelly. Legs light translucent brown. Eyes brown-red","Yellow racing stripes and underbelly. ~2mm long. Shiny, not hairy",3,,,oo-6-14-z-G-fly7
6/14/19,2,G,mosquito,1,6,4,jet black,"dense short hair on thoracic region, long spidery legs (~ body length), body approx 2mm long. Relatively long and smooth lumbar region that comes to a fine point",3,,,oo-6-14-z-G-mosquito5
6/21/19,2,F,flower fly,2,,,,,,,flower fly,
6/21/19,1,F,fly,1,6,2,"black body, black and yellow legs","translucent wings, small head, around 2mm in length, legs have beady lower legs",3,,,
6/21/19,2,F,striped cucumber beetle,2,,,,,,,striped cucumber beetle,
6/21/19,2,F,beetle,1,6,2,"green wings with yellow outlining of the wings , black bidy underneath, yellowb transkucent legs, green/ black head","triangular head, pointed lower half of body, around 8mm  in length",2,,,
6/21/19,2,G,mosquito,1,6,4,black with transparent wings,"pancake-flat head, egg-shaped thoracic and larger egg-shaped lumbar region",3,,,oo-6-21-z-G-mosquito
6/21/19,1,F,flower fly,5,,,,,,,flower fly,
6/21/19,1,F,fly,5,6,2,"black body and head, black legs","small black fly eyes (on the side of its head), small black hair follicles on the tail, 3-4mm in length",3,,,
6/21/19,2,G,fly,1,6,2,Black head and thoracic reagion. Lumbar begins with thin blob of brown and then is black. Legs translucent light brown,head curves anteriorly away from thoracic region. Thorax exhibits two lateral plates. Lumbar exhibits 5 nested segments.,3,,,oo-6-21-z-G-fly
6/21/19,1,F,beetle?,1,6?,0,"white and black splotchy body, clear legs, brown antennae","less than 1mm in size, front of the head is yellow in color with the antennae coming off the top of tis head,",3,,,
6/21/19,1,F,beetle,1,6,2,"dark brown body, lighter brown/grey legs","translucent wings, antennae come off the front of its face and lower portion is beady like, antennae are long, around 1mm in size",3,,,
6/21/19,2,F,fly 1,1,6,2,"red eyes, yellow translucent legs, yellow/ blackish  body and head","around 2mm in length,  the lower down you look on the body the more black it will be",3,,,
6/21/19,2,G,fly,7,6,2,"black head and thoracic region, with black thigh and calf regions of legs. Rainbow irridescent/transparent wings, light brown eyes and dark brown lumber region","Large, circular, multifaceted eyes, shiny thorax and lumber regions, thorax relatively spherical, lumbar tapers to point and is comprised of nested segments. Legs terminate light brown",3,,,oo-6-21-z-G-fly2
6/21/19,2,F,beetle,1,6,2?,"yellow legs (only the two back legs have black at the beginning and then yellow,  black body and head with a few very small yellowish spots on its back","antenna are extemely long and mostly black with a few yellow marks at the base and towards the end, around  2mm in length",2,,,
6/21/19,1,F,fly,1,6,2,"black upper body, grey belly, black and yellow legs","grey fly eyes (30% of head) at the side of its head, black wings, around 2mm in size",3,,,
6/21/19,1,F,fly,1,6,2,"black body and head, yellow legs","wiings are skinny and translucent, very long grey, beady antennae, fly eyes (50%) on side of its head, less than 1mm in size",3,,,
6/21/19,2,G,fly,2,6,2,"Black everything, white hair, off-yellow wings","large (~6mm), head is pretty much only eyes and probiscus, thorax shiny and relatively spherical with medium density white fur. lumber is made up of 6 smaller segments. Legs also closely segmented at terminus and covered in medium density hair. Wings terminate just past lumbar",3,,,oo-6-21-z-G-fly3
6/21/19,1,F,fly,5,6,2,"black head and body, grey tail with a yellow underside, yellow legs, grey translucent wings","2 bulging masses coming off the front of its face, large black fly eyes (40%) on side of its head, around 3mm in size",3,,,
6/21/19,2,F,fly 2 ,1,6,2,"metallic greenish body and eyes,  body is a metallic green, red and yellow,, black legs ( with the front teo legs having yellow on the bottom half)","very slender body that comes to a point, thick black lins that go across its body ",2,,,
6/21/19,2,G,ant?,2,6,2,Black head and thorax. Antannae begin yellow and then become and stay black. Lumbar region translucent yellow and legs translucent yellow. Wings milky white with some rainbow irridescence,"head smushed around thorax. Antannae substantially longer than body. Extremely thin ""neck"" connector between head and thorax. Wings attach at very prominent lateral thoracic joints. Eyes relatively small, half-spheres",3,,,oo-6-21-z-G-ant
6/21/19,1,F,beetle,1,6,0,"black head and body, brown/grey legs, ","black beady antennae coming off the front of its head, long organism, around 3mm in length",3,,,
6/21/19,2,G,fly,1,6,2,"matte black, dark brown eyes, milky white wings","Head smushed against thorax, eyes ovular, scaled thoracic region, segmented nested lumbar region, short and fat.",3,,,oo-6-21-z-G-fly4
6/21/19,2,F,ant,3,6,2,"black body, legs, head and antenna","beaded looking antenna, faint looking spots ( or bumps) on the mid section",3,,,IMG_0768.jpg
6/21/19,1,F,larva,14,6,2,orange body and legs,"black eyes, brown antennae, horizantal scaley tails, skinny long wings, less than 1mm in size",3,,,
6/21/19,2,F,fly 3,2,6,2,"brown eyes, black body, head and legs that have light brown on the bottom","around 3mm in length, white short hairs, scaly third section",3,,,IMG_0767.jpg
6/21/19,2,G,caterpillar,2,a bunch,0,lime green with white vertical stripes and tiny black dots. yellow head and eyes,"sparse long white hair, bulbous eyes on front of face, body in humped segments",many,,,oo-6-21-z-G-caterpillar
6/21/19,1,F,fly/beetle,1,6,2,"brown/black body and head, yellow legs","big black eyes, horizantal ridges along tail, small yellow antennae coming off the side/front of its head, around 3mm in size",3,,,oo-7-21-t-F-beetle
6/21/19,2,G,fly,1,6,2,"shiny black head, milky black and yellow wings, yellow logs and yellow antannae",head and thorax curl into a semblance of a ball. Wings extend relatively far past the body. Thorax triangular with point posterior,3?,,,oo-6-21-z-G-fly5
6/21/19,1,F,fly,1,6,2,"grey body and head, black and grey strippey tail, black legs","(have seen this fly before) big red fly eyes  (80%), big buldgey body, translucent wings, around 8mm in length ",3,,,
6/21/19,2,G,gnat,5,6,2,black with translucent light brown legs transparent wings,"small head with long antannae, spherical hunchbacked thorax, relatively long stretched egg-shaped lumbar, relatively very long legs",3,,,oo-6-21-z-G-gnat
6/21/19,1,F,fly,1,6,2,"black body, yellow tail, yellow legs, yellow antennae, ","translucent wings, black fly eyes, (80%), around 1mm in size",3,,,
6/21/19,2,G,fly,4,6,2,"chalky white on black head and thorax, checkered black and white lumbar region, black legs, black hair, maroon eyes","relatively large (~7mm). approximately cylindrical thorax, egg-shaped lumbar region, sharp relati ely long sparse hair everywhere. Leg-thorax joints look like a crab's",3,,,oo-6-21-z-G-fly6
6/21/19,1,G,flower fly,12,,,,,,,flower fly,
6/21/19,1,F,ant,2,6,0,"brown head and body, brown legs","strippy brown antennae that come off the top of its head, black eyes on the top of its head, around 4mm in size,  ",3,,,
6/21/19,1,G,fly 1 (same as in line 80),9,6,2,"red eyes, yellow translucent legs, yellow/ blackish  body and head","around 2mm in length,  the lower down you look on the body the more black it will be",3,,,
6/21/19,2,G,fly,5,->,->,->,->,->,,flower fly,oo-6-21-z-G-fly7
6/21/19,1,F,fly,7,6,2,"black head, body and legs","big black fly eyes (90%) that come out of the head to the side, small grey wings, tail has distinct ridges, around 8mm in size",3,,,
6/21/19,2,G,larva,1,0,0,creamy off-white with a slightly greenish tinge. Black internal head stuff,"cylindrical with tapered ends, muscular segments bunched where body is in motion, body is totally translucent",many,,,oo-6-21-z-G-larvadude
6/21/19,1,G,ant,1,6,0,"reddish brown body/ head,  red translucent pinchers, brown translucent legs, black eyes","beaded looking antenna,dark lines going across fourth section of the body,  shinny looking skin",4,,,IMG_0769.jpg
6/21/19,2,G,fly,2,6,2,"black head, thorax, lumbar, and top two leg sections. yellow leg joints and leg terminus. dark metallic yellow eyes. wings translucent milky white with rainbow irridescence","two small bulby protrusions from front of face. Eyes disc-shaped on lateral aspects of head. Thorax approximately spherical with crab-like leg-thorax joints. Lumbar region relatively flat, teardrop-shaped. Stinger(?) protruding from lumbar posteriorly.",3,,,oo-6-21-z-G-fly8
6/21/19,1,G,mite,2,6,0,"completely neon orange body, legs and head, legs are more of a translucent orange","larger round body with a very small head, less than 1mm in length",2,,clover mite,
6/21/19,1,F,fly,1,6,2,"yellow legs, black head, grey and black stripped body, ","big red fly eyes (80%), body has black strippes that go down the body vertically, long black hair follicles coming off the body, translucent wings",3,,,
6/21/19,2,G,beetle,2,->,->,->,->,->,,cucumber beetle,oo-6-21-z-G-beetle
6/21/19,1,F,fly,2,6,2,"black head and body, grey/yellow legs","long curly beady antennae coming off the front of its head, small round head, translucent wings, around 1.5mm in size",3,,,
6/21/19,2,G,fly,1,6,2,black all over with some brown translucence in anterior legs,approximately spherical head with fat cylindrical thorax that tapers into a relatively flat lumbar section.,3,,,oo-6-21-z-G-fly9
6/21/19,2,G,gnat,2,6,2,shiny black head and thorax. translucent white lumbar region with brownish organs visible. Legs translucent light brown,"pancake head with bulbous eyes, very spherical shell-like thoracic region (~3x size of head), thin, teardrop-shaped lumber region. Long legs. Wings approximately body length",3,,,oo-6-21-z-G-gnat2
6/21/19,1,G,fly 2,14,6,2,"red eyes, black legs/ head, black body with a silver tint ","thighs are thicker than the rest of the leg, around  6mm in size",3,,,
6/21/19,1,G,fly 3,20,6,2,black all over,"around 2mm in size, thicker thighs, faint lines across the body ",3,,,
6/21/19,1,G,beetle,1,6,2,"dark red body with two black spots and a thick zig zag line going across the lower section of the third segment, black marking going down the middle of the second section, red translucent legs","shinny looking skin, large bubble looking eyes, thicker thighs, around 3mm in length",3,,,
6/21/19,1,G,fly 4,2,6,2,"black body, legs and head, large black eyes","very thin and long third section, eyes take up most of the head, faint lighter stripes that are on the third section of the body and legs",3,,,
6/21/19,1,G,spider,1,8,0,"light brown body (third section looks like a mix between pink and brown)/ legs, black head ","around 2mm in length,",3,,,
6/21/19,2,G,fly,6,6,2,"shiny black head and thorax, reddish brown eyes, black legs with yellow terminus, lumbar thick black and thin yellow stripes`","2 bolbous protrusions from front of face, ovular head, approximately wpherical thorax with crab-like leg joints, teardrop-shaped (relatively fat) lumbar region",3,,,oo-6-21-z-G-fly10
6/21/19,1,G,larva,5,0,0,white and yellow translucent body ( about half is yellow and then the other half is darker yellow),"shin shins and looks a little glittery, less than lmm in length, two black small looking antenna things",1,,,
6/21/19,2,G,ant,4,6,2,shiny black body with black legs that terminate yellow and antanne that begin with a yellow section ut quickly become and stay black. \,"approximately flat, disc-shaped head, long egg shaed and intricately scaled thoracic region, prominently pointed teardrop-shaped lumbar region. Front set of legs anterior on thoracic region and latte two sets of legs clumbed closely on posterior of thoracic region",3,,,oo-6-21-z-G-ant2
6/21/19,1,F,fly,1,6,2,"black head, and body, brown legs and black and white strippey wings","big dark brown fly eyes (70% of head), long and skinny body, small yellow stinger? at the end of its tail, around 5mm in size",3,,,
6/21/19,2,G,fly,3,6,2,metallic blue-gray body with alternating yellow-black legs and white and black zebra-striped wings. Eyes metallic irridescent,"head smushed against thoracic region. Eyes long running ventral to dorsal on lateral aspects of head. Two small spherical protrusions from anterior of face. Thoracic region trapezoidal and fat, with flat joint with lumbar region. lumbar stretched teardrop shape.",3,,,oo-6-21-z-G-fly11
6/21/19,1,G,fly 5,3,6,2,"yellow legs, yellow and black striped body, black mid section and head, brownish wings","head comes to a point, the black stipes are much thikcer than the yellow stipes , shinny scaly looking mid section, around 2mm in length",3,,,
6/21/19,2,G,fly,3,6,2,"head black medially with yellow laterally and red eyes, thorax and lumbar regions black. Legs translucent yellow",head long and flat laterally with bulbous eyes on lateral extremes. thorax approximately spherical. flat teardrop-shaped lumber region,3,,,oo-6-21-z-G-fly12
6/21/19,2,G,beetle larva,1,6,0,black posteriorly and dark brown anteriorl. 2 yellowish posterior protrusions. Legs light brown,long caterpillar-like body with rounded snake-like head region and nested segmentation down body length. Two small antannae-like protrusions from posterior end of body,many,,larval Devil's coach horse beetle,oo-6-21-z-G-beetle2
6/21/19,1,G,beetle,1,6,0,"dark yellow upper body and light translucent lower body with black under the exterior layer, yellow legs, reddish eyes","black and yellow beaded antenna, less than 1mm in size, has a small  tail",2,,,
6/21/19,1,G,fly 6,5,6,2,"yellow translucent legs, dark brown thin body, black head ","very thin body with a long third section, around 1mm in length",3,,,
6/21/19,1,P,spider,1,8,0,light brown/ yellow all over,less than 1mm in length,2,,,
6/21/19,2,P,ant,2,6,0,"black head and body, brown legs","brown antennae coming off the front of its face, aorund 4mm length",3,,,
6/21/19,1,P,centipede,1,,,"small black head, greyish body","has black little spikes all over its body, less than 1mm in length, ",2,,,
6/21/19,2,G,beetle,3,6,4?,Shiny black,"black circular multifaceted eyes, broad shoulder-armor piece, broad lumbar region with small divots running in vertical rows spaced very closely together. Beefy hind thighs.",3,,,oo-6-21-z-G-beetle3
6/21/19,2,G,katydid?,3,6,2,"yellow-green (leaf-color) on back, dirty yellow/white underbelly, black eyes","Long, thin body, hind legs have crook above the body and sharp spines, head pointy cone-shaped, wings terminate at end of body",2,,,oo-6-21-z-G-katydid
6/21/19,2,G,fly,5,6,2,"Shiny black body with some rainbow irridescence, black eyes, dark brown legs, black hair, transparent wings with rainbow irridescence","spherical head and thoracic regions, lumbar region crooked at joint with thoracic and relatively small and flat in a zigzag. Two sets of legs emerge from the posterior of the thoracic inferior anterior thoracic region and one set emerges from the superior lateral region of the thoracric segment. Legs are long for body",3,,,oo-6-21-z-G-fly13
6/21/19,2,G,beetle,1,6,4,"Head: Black on top with brown around the sides and on bottomWings: wing covers yellow, darker inside with light yellow outline and dark brown spots at tail-end of the wing covers. Wings themselves are blackBody: black along the top of lumbar body segments, yellow underbellyLegs: begin light brown then become dark brown halfway down 1st leg segmentAntannae: black on top, brown on bottomShouler: yellow with black vertical stripe","2 body-length antannae, 2 multifaceted black eyes, 4 proby mouth-things, lumbar body segment has 7 scale-like sections that protrude out onto one another, shoulder armor plate with first two legs protruding from this section",3,,margined leatherwing beetle,oo-6-21-z-G-beetle4
6/21/19,2,G,katydid,1,6,0?,"yellow head, striated yellow-black shoulders, dark brown to yellow gradient on lumbar/tail region. Legs primarily dull black with yellow joints and black spikes. Eyes red-orange.","long cylindrical body that tapers towards pointed end and end (posterior) curls upwards. Lumbar region made up of ~10 nested segments, shoulders armored around 3/4 of cylinder, head stubby with relatively large red multi-segmented eyes. Hindmost legs bend above the body and have small black spikes posteriorly.",3,,,oo-6-21-z-G-katydid2
6/21/19,2,G,fly,1,6,2,turquoise head and body with black hair and deep brown/red eyes,"relatively flat head (smooshed against thorax) with eyes lateral but deep in the head. Teardrop=shaped indention on crown of head. thoracic region looks somewhat like a melon with long, sharp hairs sparse along ridge lines",3,,,oo-6-21-z-G-fly14
6/21/19,2,G,fly,2,6,2,black all over with deep red-black eyes,thoracic region approximately spherical and hunchbacked with large carapace section on dorsal superior aspect. Eyes relatively medium sized on lateral aspects of head. ,3,,,oo-6-21-z-G-fly15
6/21/19,2,G,spider,2,8,0,black body with shiny yellow legs and black hair,"body relatively flat with raised mound-like head, two extra appendages at either side of head, tufts of hair coming down on ventral aspect of spider's face, tiny black eyes on top of mound that is the spider's head",2,,,oo-6-21-z-G-spider
